Date,Event,Location,URL
April 5 2025,Cheap Marathon,Derry NH,https://www.millenniumrunning.com/cheapmarathon/
April 21 2025,Boston Marathon,Boston MA,https://www.baa.org/races/boston-marathon
April 25 2025,RPI Alumni Mile,Troy NY,https://www.rpiathletics.com/
May 10 2025,Battle Road Twilight Meet #1,MIT,https://battleroadtc.org/twilight-series/twilight-meet-1/
May 17 2025,Battle Road Twilight Meet #2,MIT,https://battleroadtc.org/twilight-series/twilight-meet-2/
May 31 2025,Battle Road Twilight Meet #3,Bentley,https://battleroadtc.org/twilight-series/twilight-meet-3/
June 7 2025,Battle Road Twilight Meet #4,Bentley,https://battleroadtc.org/twilight-series/twilight-meet-4/
