Event         ,Men's Holder ,Men's Record ,Men's Date               ,Women's Holder ,Women's Record ,Women's Date
5 km          ,Tom Hanlon  ,15:35.40     ,2022 Hollis Fast 5k      ,               ,               ,
10 km         ,Dan Stevens  ,33:50        ,2023 Beach to Beacon     ,               ,               ,
Half Marathon ,Matt Dynan   ,1:11:39      ,2021 Cheap Half Marathon ,Nicole Whipkey ,1:34:56        ,2025 New Bedford Half
Marathon      ,Mitchell Dailey   ,2:27:16      ,2025 Cheap Marathon      ,Julie Tevenan  ,3:21:22        ,2019 Bay State Marathon
