Event         ,Men's Holder  ,Men's Record ,Men's Date                       ,Women's Holder ,Women's Record ,Women's Date
800 m         ,Ben Steeves   ,1:52.87      ,2023 BU Terrier Classic          ,               ,               ,
Mile          ,Ben Steeves   ,4:12.79      ,2024 BU Terrier Classic          ,Sara Vannah    ,5:32.88        ,2019 BU Mini Meet
3 km          ,Ben Steeves   ,8:31.49      ,2023 Greater Boston Invitational ,Sara Vannah    ,10:42.13       ,2020 BU Valentine
5 km          ,Dan Stevens   ,14:45.10     ,2022 BU Season Opener            ,Sara Vannah    ,18:55.27       ,2020 USATF NE Indoor Champs
