Event         ,Men's Holder  ,Men's Record ,Men's Date                       ,Women's Holder ,Women's Record ,Women's Date
800 m         ,Ben Steeves   ,1:52.87      ,2023 BU Terrier Classic          ,               ,               ,
1500 m        ,Matthew Lecky ,3:49.36      ,2024 BRTC Twilight Meet #1       ,               ,               ,
Mile          ,Ben Steeves   ,4:12.79      ,2024 BU Terrier Classic          ,Sara Vannah    ,5:32.88        ,2019 BU Mini Meet
3 km          ,Ben Steeves   ,8:31.49      ,2023 Greater Boston Invitational ,Sara Vannah    ,10:42.13       ,2020 BU Valentine
5 km          ,Dan Stevens   ,14:45.10     ,2022 BU Season Opener            ,Sara Vannah    ,18:55.27       ,2020 USATF NE Indoor Champs
10 km         ,Dan Stevens   ,31:16.06     ,2023 BRTC Twilight Meet #1       ,               ,               ,
Half Marathon ,Matt Dynan    ,1:11:39      ,2021 Cheap Half Marathon         ,Nicole Whipkey ,1:34:56        ,2025 New Bedford Half
Marathon      ,Mike Brady    ,2:28:29      ,2023 Boston Marathon             ,Julie Tevenan  ,3:21:22        ,2019 Bay State Marathon
