Event         ,Men's Holder  ,Men's Record ,Men's Date                       ,Women's Holder ,Women's Record ,Women's Date
800 m         ,Ben Steeves   ,1:54.12      ,2023 USATF NE Outdoor Champs     ,               ,               ,
1500 m        ,Matthew Lecky ,3:51.22      ,2023 GBTC Summer Classic         ,               ,               ,
Mile          ,Ben Steeves   ,4:15.33      ,2023 Adrian Martinez Classic     ,Sara Vannah    ,5:35.44        ,2019 Adrian Martinez Classic
3 km          ,Ben Steeves   ,8:35.67      ,2023 GBTC Summer Classic        ,Sara Vannah    ,10:48.92       ,2019 GBTC Summer Classic
5 km          ,Dan Stevens   ,14:52.33     ,2023 USATF NE Outdoor Champs    ,Sara Vannah    ,19:12.55       ,2019 USATF NE Outdoor Champs
10 km         ,Dan Stevens   ,31:16.06     ,2023 BRTC Twilight Meet #1      ,               ,               ,
